Atlantic Reporter	A.
Admiralty and Ecclesiastical Cases	A. & E.
Annuaire de l'Association des auditeurs et anciens auditeurs de l'Académie de droit international de La Haye	A.A.A.
Arbitrage - Affaires sociales	A.A.S.
Arbitrage Santé et services sociaux	A.A.S.
American Bar Association Journal	A.B.A.J.
Appeal Board Decisions	ABD
Law Reports, Appeal Cases	A.C.
Annuaire canadien de droit international	A. Can.D.I.
Annuaire canadien de droit international	A.C.D.I.
Annuaire canadien des droits de la personne	A.C.D.P.
Annuaire de la convention européenne des droits de l'homme	A.C.E.D.H
Arrêts de la Cour fédérale	A.C.F.
Annals of the Chinese Society of International Law	A.Chinese Soc.I.L
Annuaire de la Commission du droit international	A.Com.D.I
Arrêts de la Cour suprême du Canada	A.C.S.
Actualités Justice	Act. Justice
All-Canada Weekly Summaries	A.C.W.S.
Annual Digest of Public International Law Cases	A.D.
Annales de droit aérien et spatial	A.D.A.S.
Adelaide Law Review	Adel. L. R.
Annuaire des droits de l'homme	A.D.H.
Annual Digest of Public International Law Cases	A.D.I.L.
Administrative Law Second Series Decisions	AdL 2d
Annuaire de droit maritime et aérien	A.D.M.A.
Administrative Law Journal	Admin.L.J.
Administrative Law Reports	Admin.L.R.
Administrative Law Review	Adm. Law Rev.
Annales de droit et de sciences politiques	A.D.S.P
The Advocate	Adv.
The Advocate	Advocate
The Advocates'Quarterly	Advocates'Q
Annales d'études internationales	A.E.I.
All England Law Reports	A.E.L.R
Annales de la Faculté de droit de Toulouse	A.Fac.Dr.Toulouse
Annuaire français de droit international	A.F.D.I
Annales de la Faculté de droit de Liège	A.F.D.L.
Association des hôpitaux du Québec	A.H.Q.
Affaires d'immigration en appel	A.I.A.
Annuaire de l'Institut de droit international	A.I.D.I
Accès à l'information Express	A.I.E.
Association internationale francophone des intervenants auprès des familles séparées (Revue scientifique de)	AIFI
Air Law Review	Air L. Rev.
Alberta Judgments	A.J.
American Journal of Comparative Law	A.J.C.L.
L'Actualité juridique. Droit administratif	AJDA
Annuaire de jurisprudence et de doctrine du Québec	A.J.D.Q.
Aide juridique express	A.J.E.
American Journal of International Law	A.J.I.L.
Actualité juridique municipale	A.J.M.
Annuaire juridique des Nations Unies	A.J.N.U.
Annuaire de jurisprudence du Québec	A.J.Q.
Actualité Législative Dalloz	A.L.D.
Australian Law Journal	A.L.J.
Australian Law Journal Reports	A.L.J.R.
All England Law Reports	All E.R.
Alberta Law Quarterly	A.L.Q.
American Law Reports	A.L.R.
Administrative Law Reports	A.L.R.
American Law Register	A.L. Reg.
Alberta Law Reports	Alta L.R.
The Alberta Law Review	Alta L.Rev.
American Bankruptcy Law Journal	Am. Bankr. L.J.
American Maritime Cases	A.M.C.
American Criminal Law Review	Am. Crim. L.R.
American Digest System	Am. D.S.
American journal of international law	Amer.J.Int'l L.
American Journal of Comparative Law	Am. J. Comp. L.
American Journal of Law and Medicine	Am. J. Law and Medicine
American Journal of Legal History	Am. J. Legal Hist.
American Law and Economics Review	Am Law Econ Rev
American Law Register	Am. L. Reg.
American Society of International Law Proceedings	Am. Soc. Int’l. L. Proc.
Arrêts du Nouveau Brunswick	A.N.B.
Anglo-American Law Review	Anglo-Am. L. Rev.
Annual Legal Bibliography	An. Leg. Biblio.
Annals of Air and Space Law	Ann.Air & Space L.
Annals of Air and Space Law	Ann. Air & Sp. L.
Annuaire canadien des droits de la personne	Ann.can.D. de la personne
Annuaire canadien de droit international	Ann. Can. D. int.
Annuaire de la Commission du droit international	Ann. C.D.I.
Annuaire de la convention européenne des droits de l'homme	Ann. C.E.D.H.
Annuaire de la Commission du droit international	Ann.Com.dr.int
Annuaire de la Convention européenne des droits de l'homme	Ann. Conv.Eur.D.H.
Annales de droit aérien et spatial	Ann.D.aérien & spatial
Annales de droit aérien et spatial	Ann.D.Aér.Spat.
Annuaire de La Haye de Droit International	Ann.de La Haye
Annales d'études internationales	Ann.E.I.
Annuaire français de droit international	Ann. Fr. Dr. Int.
Annals of Health Law	Ann. Health L.
Annuaire de l'Institut de droit international	Ann. I.D.I.
Annual Review of Civil Litigation. Carswell	Ann. Rev. Civil Lit.
Annual Survey of International & Comparative Law	Ann. Surv. Int’l & Comp. L.
Annales des Tribunaux	Ann.Trib.
Annuaire de la Commission du droit international	Annuaire... [année]
